OCH, -3.5328589904493364, 31236
I, -3.53889587218316, 31048
REDIGERA, -4.106020131271124, 17609
AV, -4.11108718074152, 17520
SOM, -4.237339196363141, 15442
TILL, -4.3717405808053815, 13500
EN, -4.386967028136673, 13296
ATT, -4.502271189284268, 11848
MED, -4.5185234083120696, 11657
DEN, -4.529824913235291, 11526
PÅ, -4.595995860972281, 10788
FRÅN, -4.604934467973092, 10692
FÖR, -4.742053068299216, 9322
WIKITEXT, -4.7968416634304045, 8825
ÄR, -4.849537461666012, 8372
DET, -4.9905364325818455, 7271
DE, -5.052812809763497, 6832
SOLID, -5.178512786873046, 6025
ETT, -5.295279741404364, 5361
VAR, -5.344993667308976, 5101
HAR, -5.368197484764613, 4984
OM, -5.49282572532555, 4400
HAN, -5.612172482958115, 3905
UNDER, -5.643120213462634, 3786
THE, -5.721096032386105, 3502
VID, -5.851125364991284, 3075
ÄVEN, -5.881500760717153, 2983
LÄST, -5.903531816149171, 2918
1PX, -5.913519844765667, 2889
INTE, -5.950900783706011, 2783
HOPPA, -5.979698108069048, 2704
ÅR, -5.995728274254213, 2661
ELLER, -6.008587755546363, 2627
MEN, -6.033251818867831, 2563
EFTER, -6.039121528539848, 2548
SIG, -6.123852077740992, 2341
OF, -6.188703904396727, 2194
SVENSKA, -6.19924237535361, 2171
KAN, -6.241581718838268, 2081
ANDRA, -6.2832850883604925, 1996
A, -6.312773752781191, 1938
SIN, -6.322626049224202, 1919
MAN, -6.346355082433535, 1874
HADE, -6.350633163824613, 1866
MOT, -6.4017572391576945, 1773
SVERIGE, -6.403450719664027, 1770
ÖVER, -6.413101660310668, 1753
SVENSK, -6.44497917836061, 1698
BLEV, -6.44497917836061, 1698
DÅ, -6.450293628424102, 1689
FÖRSTA, -6.450885870076, 1688
DÄR, -6.477906427194634, 1643
GENOM, -6.488922450468064, 1625
KÄLLOR, -6.500683650725195, 1606
IN, -6.513845858920521, 1585
MAJ, -6.518272043826083, 1578
WIKIPEDIA, -6.54981633930284, 1529
FINNS, -6.5669671554789275, 1503
JANUARI, -6.570967160812274, 1497
ALLA, -6.573642747692712, 1493
LÄNKAR, -6.625888305541221, 1417
SÅ, -6.628007698775384, 1414
SEDAN, -6.648730126610463, 1385
HANS, -6.652346767080652, 1380
HÄMTAD, -6.6530716674386, 1379
JUNI, -6.660349719943453, 1369
SE, -6.663275837612842, 1365
IDENTIFIERARE, -6.66841723711326, 1358
WIKIPEDIAARTIKLAR, -6.669153885397033, 1357
SÖK, -6.672845288628993, 1352
NAVIGERING, -6.674325673799427, 1350
EXTERNA, -6.676550368821538, 1347
MARS, -6.68250719954073, 1339
DECEMBER, -6.704403129036705, 1310
DENNA, -6.713605647967867, 1298
DETTA, -6.720563542292715, 1289
V, -6.737778364910763, 1267
BLAND, -6.743318545286378, 1260
FEBRUARI, -6.7569024537211915, 1243
OKTOBER, -6.75931888663282, 1240
NOVEMBER, -6.773941405500362, 1222
STOCKHOLM, -6.781333636287852, 1213
JULI, -6.7862923241343704, 1207
MELLAN, -6.790443430136749, 1202
TVÅ, -6.797121251279354, 1194
ARTIKLAR, -6.800476959126327, 1190
OCKSÅ, -6.804687491662671, 1185
SEPTEMBER, -6.806376681253515, 1183
APRIL, -6.81231141677333, 1176
INOM, -6.813162118653643, 1175
B, -6.830329922276008, 1155
HON, -6.831196098163857, 1154
NÄR, -6.839899373292159, 1144
KATEGORIER, -6.852212633525516, 1130
AUGUSTI, -6.855758736532266, 1126
SKULLE, -6.875490318394862, 1104
AMERIKANSK, -6.878211408509222, 1101
R, -6.8873355593988315, 1091
AND, -6.888252570008713, 1090
FICK, -6.9313707767893185, 1044
SAMT, -6.932329090231129, 1043
ISBN, -6.948762519501187, 1026
MEDIA, -6.9654705248782935, 1009
JAG, -6.970438244980228, 1004
DOCK, -6.975430766583349, 999
STOCKHOLMS, -6.979442808073309, 995
REFERENSER, -7.000774241589367, 974
UTAN, -7.0110942506213565, 964
ANNAT, -7.0225706415777, 953
HA, -7.036305669967852, 940
DU, -7.059988154611411, 918
NYA, -7.062169180557772, 916
DEL, -7.076462991814917, 903
SITT, -7.097728482594259, 884
MÅNGA, -7.10226363775965, 880
OLIKA, -7.11484241996651, 869
UT, -7.120612776427847, 864
STORA, -7.126416623247647, 859
SVERIGES, -7.128747626634122, 857
VILKET, -7.131084076295142, 855
VARA, -7.132254351443333, 854
ÄN, -7.13694919574754, 850
ARKIVERAD, -7.142848917874728, 845
PERSONER, -7.154753820381047, 835
BEHÖVER, -7.165590771710924, 826
LIBRIS, -7.175323208629155, 818
DESSA, -7.220330804686591, 782
UPP, -7.2228916255482645, 780
SINA, -7.231906496644481, 773
FLERA, -7.233200995207126, 772
KOM, -7.241003375491311, 766
HÄR, -7.250183767836273, 759
SAMMA, -7.250183767836273, 759
SENARE, -7.25150215958953, 758
INNEHÅLL, -7.263446561714683, 749
FÖDD, -7.264782567257425, 748
ENLIGT, -7.267459945028142, 746
TIDIGARE, -7.2823150460190655, 735
KUNG, -7.296013890377227, 725
DÖD, -7.312704124817606, 713
TRE, -7.32115487933533, 707
BILDER, -7.326828653421237, 703
HISTORIA, -7.341155546041999, 693
MYCKET, -7.355690685661112, 683
KARL, -7.3719272047087525, 672
MER, -7.382398504576048, 665
FÖDDA, -7.406752828527812, 649
C, -7.423847261887112, 638
TYSKLAND, -7.457316521326514, 617
VON, -7.458938581698383, 616
FRAM, -7.46219061708476, 614
EXEMPEL, -7.46219061708476, 614
USA, -7.476957087201061, 605
KOMMUN, -7.476957087201061, 605
